County_FIPS,SVI_county,Covid_cases,CHW_need,priority_high_demand,priority_SVI_high_demand,priority_SVI_hotspot,priority_SVI_pop,priority_hotspot,percentage_scenario_high_demand_base_case_capacity_0,percentage_scenario_high_demand_base_case_capacity_10,percentage_scenario_high_demand_base_case_capacity_20,percentage_scenario_high_demand_base_case_capacity_30,percentage_scenario_high_demand_base_case_capacity_40,percentage_scenario_high_demand_base_case_capacity_50,percentage_scenario_high_demand_base_case_capacity_60,percentage_scenario_high_demand_base_case_capacity_70,percentage_scenario_high_demand_base_case_capacity_80,percentage_scenario_SVI_high_demand_base_case_capacity_0,percentage_scenario_SVI_high_demand_base_case_capacity_10,percentage_scenario_SVI_high_demand_base_case_capacity_20,percentage_scenario_SVI_high_demand_base_case_capacity_30,percentage_scenario_SVI_high_demand_base_case_capacity_40,percentage_scenario_SVI_high_demand_base_case_capacity_50,percentage_scenario_SVI_high_demand_base_case_capacity_60,percentage_scenario_SVI_high_demand_base_case_capacity_70,percentage_scenario_SVI_high_demand_base_case_capacity_80,percentage_scenario_SVI_hotspot_base_case_capacity_0,percentage_scenario_SVI_hotspot_base_case_capacity_10,percentage_scenario_SVI_hotspot_base_case_capacity_20,percentage_scenario_SVI_hotspot_base_case_capacity_30,percentage_scenario_SVI_hotspot_base_case_capacity_40,percentage_scenario_SVI_hotspot_base_case_capacity_50,percentage_scenario_SVI_hotspot_base_case_capacity_60,percentage_scenario_SVI_hotspot_base_case_capacity_70,percentage_scenario_SVI_hotspot_base_case_capacity_80,percentage_scenario_SVI_pop_base_case_capacity_0,percentage_scenario_SVI_pop_base_case_capacity_10,percentage_scenario_SVI_pop_base_case_capacity_20,percentage_scenario_SVI_pop_base_case_capacity_30,percentage_scenario_SVI_pop_base_case_capacity_40,percentage_scenario_SVI_pop_base_case_capacity_50,percentage_scenario_SVI_pop_base_case_capacity_60,percentage_scenario_SVI_pop_base_case_capacity_70,percentage_scenario_SVI_pop_base_case_capacity_80,percentage_scenario_hotspot_base_case_capacity_0,percentage_scenario_hotspot_base_case_capacity_10,percentage_scenario_hotspot_base_case_capacity_20,percentage_scenario_hotspot_base_case_capacity_30,percentage_scenario_hotspot_base_case_capacity_40,percentage_scenario_hotspot_base_case_capacity_50,percentage_scenario_hotspot_base_case_capacity_60,percentage_scenario_hotspot_base_case_capacity_70,percentage_scenario_hotspot_base_case_capacity_80
5117,0.426666667,27,12,0.020134228,0.017869847,0.148133429,0.016271396,0.189312097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
5121,0.293333333,42,17,0.032718121,0.01912534,0.066825229,0.024119631,0.122823438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.94117647,52.94117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.94117647,52.94117647
5125,0.106666667,219,87,0.181208054,0.03645114,0.017562876,0.05951583,0.09180742,0,0,0,0,0,0,0,0,50.57471264,0,0,0,0,0,0,0,0,0,0,0,0,5.747126437,13.79310345,14.94252874,27.5862069,35.63218391,41.37931034,0,0,0,0,0,0,0,0,0,0,0,0,5.747126437,13.79310345,21.83908046,32.18390805,35.63218391,40.22988506
5131,0.733333333,532,221,0.443791946,0.612052731,0.304707049,0.445149896,0.227080283,0,0,0,0,0,0,100,100,100,0,0,0,0,1.357466063,100,100,100,100,12.21719457,4.977375566,16.74208145,30.76923077,45.70135747,52.0361991,65.15837104,70.13574661,84.16289593,0,0,0,0,100,100,100,100,100,0,0,13.12217195,26.69683258,45.24886878,48.41628959,61.99095023,65.61085973,84.16289593
5145,0.373333333,68,25,0.054530201,0.039631722,0.027143296,0.139769236,0.034802283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,24,32,32,68,0,0,0,0,0,0,0,100,100,0,0,0,4,20,20,24,28,32
6007,0.672413793,365,170,0.034527275,0.015760386,0.180719843,0.017190358,0.226666909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.352941176,5.294117647,5.882352941,12.94117647,18.23529412,0,0,0,0,0,0,0,0,0,0,0,0,0,2.352941176,5.294117647,4.117647059,10.58823529,19.41176471
6017,0.068965517,179,79,0.02981901,0.008935328,0.010478404,0.001444111,0.128139205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.594936709,12.65822785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.594936709,12.65822785
6023,0.534482759,41,17,0.026325782,0.00921552,0.024025633,0.00816679,0.037910545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.882352941,11.76470588,23.52941176,29.41176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.882352941,17.64705882,23.52941176
6027,0.362068966,6,2,0.025439818,0.008637467,0.014374489,0.000731761,0.033482664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50
6061,0.034482759,465,208,0.0370586,0.009043366,0.006774596,0.001470344,0.165691515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.326923077,4.326923077,4.326923077,4.326923077,6.25,6.25,6.730769231,9.615384615,9.615384615,0,0,0,0,0,0,0,0,0,4.807692308,4.326923077,4.807692308,4.326923077,6.25,6.25,6.730769231,9.615384615,9.615384615
6079,0.155172414,498,215,0.037893937,0.010836591,0.042553338,0.004912963,0.231279966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.790697674,8.837209302,9.302325581,17.20930233,31.62790698,0,0,0,0,0,0,0,0,0,0,0,0,0,8.837209302,8.837209302,17.20930233,23.25581395,40.46511628
6089,0.396551724,79,32,0.027287685,0.009491167,0.02543784,0.007992317,0.054100252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,3.125,6.25,9.375,15.625,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,3.125,6.25,6.25,12.5
