County FIPS,demand_covered,total_demand_of_county,hot_spot,county_name,state_name,priority,percentage_for_30,percentage_for_50,percentage_for_70
30029,0,0,0,Flathead,MT,0,100,100,100
30031,2,2,0.001747732,Gallatin,MT,0.07462817,100,100,100
30033,0,0,0,Garfield,MT,0,100,100,100
30035,0,0,0,Glacier,MT,0,100,100,100
30037,0,0,0,Golden Valley,MT,0,100,100,100
30039,0,0,0,Granite,MT,0,100,100,100
30041,0,0,0,Hill,MT,0,100,100,100
30043,1,1,0.008182636,Jefferson,MT,0.393584813,100,100,100
30045,0,0,0,Judith Basin,MT,0,100,100,100
30047,0,0,0,Lake,MT,0,100,100,100
30049,0,0,0,Lewis and Clark,MT,0,100,100,100
30051,0,0,0,Liberty,MT,0,100,100,100
30053,0,0,0,Lincoln,MT,0,100,100,100
30055,0,0,0,McCone,MT,0,100,100,100
30057,0,0,0,Madison,MT,0,100,100,100
30059,0,0,0,Meagher,MT,0,100,100,100
30061,0,0,0,Mineral,MT,0,100,100,100
30063,0,0,0,Missoula,MT,0,100,100,100
30065,0,0,0,Musselshell,MT,0,100,100,100
30067,1,1,0.00602192,Park,MT,0.414308081,100,100,100
30069,0,0,0,Petroleum,MT,0,100,100,100
30071,0,0,0,Phillips,MT,0,100,100,100
30073,0,0,0,Pondera,MT,0,100,100,100
30075,0,0,0,Powder River,MT,0,100,100,100
30077,0,0,0,Powell,MT,0,100,100,100
30079,0,0,0,Prairie,MT,0,100,100,100
30081,0,0,0,Ravalli,MT,0,100,100,100
30083,0,0,0,Richland,MT,0,100,100,100
30085,0,0,0,Roosevelt,MT,0,100,100,100
30087,0,0,0,Rosebud,MT,0,100,100,100
30089,0,0,0,Sanders,MT,0,100,100,100
30091,0,0,0,Sheridan,MT,0,100,100,100
30093,0,0,0,Silver Bow,MT,0,100,100,100
30095,0,0,0,Stillwater,MT,0,100,100,100
30097,0,0,0,Sweet Grass,MT,0,100,100,100
30099,0,0,0,Teton,MT,0,100,100,100
30101,0,0,0,Toole,MT,0,100,100,100
30103,0,0,0,Treasure,MT,0,100,100,100
30105,0,0,0,Valley,MT,0,100,100,100
30107,0,0,0,Wheatland,MT,0,100,100,100
30109,0,0,0,Wibaux,MT,0,100,100,100
30111,2,2,0.001239926,Yellowstone,MT,0.309609423,100,100,100
31001,0,33,0.105219526,Adams,NE,37.79485381,0,15.15151515,39.39393939
31003,0,2,0.031756113,Antelope,NE,3.277230867,0,0,0
31005,0,0,0,Arthur,NE,0,100,100,100
31007,0,0,0,Banner,NE,0,100,100,100
31009,0,0,0,Blaine,NE,0,100,100,100
31011,0,1,0.019260401,Boone,NE,0.545069337,0,0,0
31013,0,0,0,Box Butte,NE,0,100,100,100
